homeTeam,awayTeam,league,drawOdds,awayOdds,homeOdds,Time,Date
FC Dila Gori,FC Dinamo Tbilisi,Football / Georgia / Erovnuli Liga,3.22,3.17,2.11,8:00 pm,Wed 20/05
Sogndal Fotball,Stabaek IF,Football / Norway / 1st Division,3.7,2.22,2.79,8:00 pm,Wed 20/05
Aasane Fotball,Sandnes Ulf,Football / Norway / 1st Division,3.56,2.21,2.89,8:00 pm,Wed 20/05
GAIS,Hammarby IF,Football / Sweden / Allsvenskan,3.62,1.91,4.0,8:00 pm,Wed 20/05
Aalesunds FK,SK Brann,Football / Norway / Eliteserien,4.22,1.73,4.09,9:00 pm,Wed 20/05
Al-Najma,Al-Shabab FC (SA),Football / Saudi Arabia / Saudi Prof. League,4.97,1.48,5.76,9:00 pm,Wed 20/05
Al-Khaleej Club,Al Ahli Saudi FC,Football / Saudi Arabia / Saudi Prof. League,4.66,1.5,5.95,9:00 pm,Wed 20/05
SC Freiburg,Aston Villa,Football / International / UEFA Europa League,3.81,4.54,5.27,10:00 pm,Wed 20/05
Club Olimpia,CR Vasco da Gama RJ,Football / International / Copa Sudamericana,3.15,2.86,2.42,1:00 am,Thu 21/05
CA Boston River,CD O´Higgins,Football / International / Copa Sudamericana,3.22,2.03,3.61,1:00 am,Thu 21/05
Santos FC SP,CA San Lorenzo de Almagro,Football / International / Copa Sudamericana,3.58,4.64,1.71,1:00 am,Thu 21/05
Club Nacional de Football,Universitario de Deportes,Football / International / Copa Libertadores,3.46,4.24,1.9,1:00 am,Thu 21/05
Detroit City FC,Miami FC,Football / USA / USL Championship,4.14,5.19,1.55,2:30 am,Thu 21/05
Houston Dash Women,San Diego Wave FC Women,Football / USA / National Womens Soccer League,3.77,1.65,4.58,3:00 am,Thu 21/05
Gremio FB Porto Alegrense RS,CD Palestino,Football / International / Copa Sudamericana,4.53,7.51,1.38,3:00 am,Thu 21/05
Independiente Petrolero,Botafogo FR RJ,Football / International / Copa Sudamericana,5.78,1.28,7.9,3:00 am,Thu 21/05
LDU Quito,CA Lanus,Football / International / Copa Libertadores,3.36,3.81,2.04,3:30 am,Thu 21/05
SE Palmeiras SP,Cerro Porteno,Football / International / Copa Libertadores,5.42,10.81,1.29,3:30 am,Thu 21/05
CA River Plate (ARG),Red Bull Bragantino SP,Football / International / Copa Sudamericana,3.33,4.44,1.8,3:30 am,Thu 21/05
CR Flamengo RJ,Estudiantes de La Plata,Football / International / Copa Libertadores,4.44,8.0,1.43,3:30 am,Thu 21/05
New Mexico United,Tampa Bay Rowdies,Football / USA / USL Championship,3.48,2.0,3.43,4:00 am,Thu 21/05
CD Junior FC,Sporting Cristal,Football / International / Copa Libertadores,3.99,4.99,1.67,5:00 am,Thu 21/05
Cusco FC,Independiente Medellin,Football / International / Copa Libertadores,3.24,2.97,2.47,5:00 am,Thu 21/05
Punjab FC,Mumbai City,Football / India / Indian Super League,3.22,3.03,2.27,2:30 pm,Thu 21/05
Mohun Bagan Super Giant,Sporting Club Delhi,Football / India / Indian Super League,6.54,13.46,1.17,5:00 pm,Thu 21/05
Inter Kashi FC,SC East Bengal,Football / India / Indian Super League,4.23,1.49,5.77,5:00 pm,Thu 21/05
FC Spaeri,FC Dinamo Batumi,Football / Georgia / Erovnuli Liga,3.49,3.63,1.86,6:00 pm,Thu 21/05
BFC Daugavpils,Ogre United,Football / Latvia / Virsliga,3.84,5.19,1.59,6:00 pm,Thu 21/05
AE Kifisia FC,AE Larissa FC,Football / Greece / Super League 1,3.13,3.18,2.24,7:00 pm,Thu 21/05
Atromitos Athinon,Panserraikos FC,Football / Greece / Super League 1,3.86,5.79,1.54,7:00 pm,Thu 21/05
Panaitolikos Agrinio,Asteras Tripolis,Football / Greece / Super League 1,3.18,3.08,2.27,7:00 pm,Thu 21/05
IF Elfsborg,Mjallby AIF,Football / Sweden / Allsvenskan,3.09,2.6,2.92,8:00 pm,Thu 21/05
FC RFS,FS Jelgava,Football / Latvia / Virsliga,6.16,12.51,1.19,8:00 pm,Thu 21/05
IK Tord,Skara FC,"Football / Sweden / Division 2, Promotion Playoffs",3.59,2.54,2.34,8:00 pm,Thu 21/05
Neom SC,Al-Ittifaq FC,Football / Saudi Arabia / Saudi Prof. League,4.06,3.91,1.82,9:00 pm,Thu 21/05
Al-Riyadh SC,Al-Okhdood Club,Football / Saudi Arabia / Saudi Prof. League,4.83,6.51,1.45,9:00 pm,Thu 21/05
Al Nassr Club,Damac FC,Football / Saudi Arabia / Saudi Prof. League,9.9,15.84,12.87,9:00 pm,Thu 21/05
Al-Hazm,Al-Taawoun FC,Football / Saudi Arabia / Saudi Prof. League,3.77,2.01,3.47,9:00 pm,Thu 21/05
IA Akranes,IBV Vestmannaeyjar,Football / Iceland / Besta deild,4.33,4.62,1.58,9:00 pm,Thu 21/05
Al-Fayha FC,Al Hilal SFC,Football / Saudi Arabia / Saudi Prof. League,5.93,7.12,8.3,9:00 pm,Thu 21/05
Al-Kholood,Al-Fateh SC,Football / Saudi Arabia / Saudi Prof. League,3.81,2.63,2.46,9:00 pm,Thu 21/05
VFL Wolfsburg,SC Paderborn 07,Football / Germany / Bundesliga,4.05,5.19,1.67,9:30 pm,Thu 21/05
KAA Gent,Union Saint-Gilloise,Football / Belgium / Pro League,3.69,1.81,4.6,9:30 pm,Thu 21/05
RSC Anderlecht,St. Truidense VV,Football / Belgium / Pro League,3.72,2.95,2.31,9:30 pm,Thu 21/05
Yellow-Red KV Mechelen,Club Brugge,Football / Belgium / Pro League,5.2,1.44,6.45,9:30 pm,Thu 21/05
Partick Thistle FC,St Mirren FC,Football / Scotland / Premiership,3.24,2.67,2.65,10:00 pm,Thu 21/05
Deportivo La Guaira,Independiente Rivadavia,Football / International / Copa Libertadores,3.45,1.85,4.55,1:00 am,Fri 22/05
Atletico Mineiro MG,CS Cienciano,Football / International / Copa Sudamericana,6.8,14.58,1.16,1:00 am,Fri 22/05
Academia Puerto Cabello,CA Juventud de Las Piedras,Football / International / Copa Sudamericana,3.25,3.16,2.19,1:00 am,Fri 22/05
Racing Club Avellaneda,Caracas FC,Football / International / Copa Sudamericana,6.84,13.67,1.16,3:00 am,Fri 22/05
Blooming Santa Cruz,Carabobo FC,Football / International / Copa Sudamericana,3.26,2.08,3.41,3:30 am,Fri 22/05
CA Penarol Montevideo,SC Corinthians SP,Football / International / Copa Libertadores,3.17,2.74,2.71,3:30 am,Fri 22/05
CD Universidad Catolica,Barcelona SC,Football / International / Copa Libertadores,3.54,4.58,1.82,3:30 am,Fri 22/05
CSD Macara,Alianza Atletico,Football / International / Copa Sudamericana,3.59,4.56,1.72,5:00 am,Fri 22/05
Arema FC,Psim Yogyakarta,Football / Indonesia / Liga 1,3.48,2.76,2.32,11:30 am,Fri 22/05
Machida Zelvia,Urawa Red Diamonds,Football / Japan / J.League,3.29,3.29,2.26,1:30 pm,Fri 22/05
Dewa United,Bali United,Football / Indonesia / Liga 1,4.29,4.87,1.56,3:00 pm,Fri 22/05
NK Osijek,NK Slaven Belupo,Football / Croatia / HNL,3.35,3.4,2.05,5:00 pm,Fri 22/05
Aris Limassol FC,AEK Larnaca,Football / Cyprus / 1st Division,3.31,2.33,2.87,5:30 pm,Fri 22/05
